timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1733919152450,444,Select Flight-1,200,OK,Thread Group 1-1,text,true,,6715,127,2,2,https://blazedemo.com/purchase.php,419,0,0
1733919151443,1450,Search_Flight_Transaction,,"Number of samples in transaction : 3, number of failing samples : 2",Thread Group 1-1,,false,,14450,660,2,2,null,585,1,0
1733919152751,737,Select Flight,200,OK,Thread Group 1-2,text,false,Test failed: text expected to contain /Thank you for your purchase!/,6946,350,1,1,https://blazedemo.com/purchase.php,293,0,0
1733919152751,293,Select Flight-0,302,Found,Thread Group 1-2,text,true,,231,223,1,1,http://blazedemo.com/purchase.php,293,0,0
1733919153044,444,Select Flight-1,200,OK,Thread Group 1-2,text,true,,6715,127,1,1,https://blazedemo.com/purchase.php,416,0,0
1733919151914,1572,Search_Flight_Transaction,,"Number of samples in transaction : 3, number of failing samples : 2",Thread Group 1-2,,false,,14450,660,1,1,null,596,2,13
1733919153488,726,Search Flights,200,OK,Thread Group 1-2,text,false,Test failed: text expected to contain /Flights from Paris to London/,7504,310,2,2,https://blazedemo.com/reserve.php?fromPort=Paris&toPort=London,288,0,0
1733919153488,288,Search Flights-0,302,Found,Thread Group 1-2,text,true,,259,155,2,2,http://blazedemo.com/reserve.php?fromPort=Paris&toPort=London,288,0,0
1733919153777,437,Search Flights-1,200,OK,Thread Group 1-2,text,true,,7245,155,2,2,https://blazedemo.com/reserve.php?fromPort=Paris&toPort=London,410,0,0
1733919154215,705,Select Flight,200,OK,Thread Group 1-2,text,false,Test failed: text expected to contain /Thank you for your purchase!/,6946,350,2,2,https://blazedemo.com/purchase.php,286,0,0
1733919154215,286,Select Flight-0,302,Found,Thread Group 1-2,text,true,,231,223,2,2,http://blazedemo.com/purchase.php,286,0,0
1733919154501,419,Select Flight-1,200,OK,Thread Group 1-2,text,true,,6715,127,2,2,https://blazedemo.com/purchase.php,395,0,0
1733919153488,1431,Search_Flight_Transaction,,"Number of samples in transaction : 3, number of failing samples : 2",Thread Group 1-2,,false,,14450,660,2,2,null,574,1,0
1733919153925,1097,Search Flights,200,OK,Thread Group 1-3,text,false,Test failed: text expected to contain /Flights from Paris to London/,7508,310,1,1,https://blazedemo.com/reserve.php?fromPort=Paris&toPort=London,597,0,15
1733919153925,597,Search Flights-0,302,Found,Thread Group 1-3,text,true,,263,155,1,1,http://blazedemo.com/reserve.php?fromPort=Paris&toPort=London,597,0,15
1733919154523,499,Search Flights-1,200,OK,Thread Group 1-3,text,true,,7245,155,1,1,https://blazedemo.com/reserve.php?fromPort=Paris&toPort=London,491,0,99
1733919155022,699,Select Flight,200,OK,Thread Group 1-3,text,false,Test failed: text expected to contain /Thank you for your purchase!/,6946,350,1,1,https://blazedemo.com/purchase.php,283,0,0
1733919155022,283,Select Flight-0,302,Found,Thread Group 1-3,text,true,,231,223,1,1,http://blazedemo.com/purchase.php,283,0,0
1733919155305,416,Select Flight-1,200,OK,Thread Group 1-3,text,true,,6715,127,1,1,https://blazedemo.com/purchase.php,402,0,0
1733919153925,1796,Search_Flight_Transaction,,"Number of samples in transaction : 3, number of failing samples : 2",Thread Group 1-3,,false,,14454,660,1,1,null,880,0,15
1733919155722,698,Search Flights,200,OK,Thread Group 1-3,text,false,Test failed: text expected to contain /Flights from Paris to London/,7508,310,2,2,https://blazedemo.com/reserve.php?fromPort=Paris&toPort=London,289,0,0
1733919155722,289,Search Flights-0,302,Found,Thread Group 1-3,text,true,,263,155,2,2,http://blazedemo.com/reserve.php?fromPort=Paris&toPort=London,289,0,0
1733919156012,408,Search Flights-1,200,OK,Thread Group 1-3,text,true,,7245,155,2,2,https://blazedemo.com/reserve.php?fromPort=Paris&toPort=London,399,0,0
1733919155915,908,Search Flights,200,OK,Thread Group 1-4,text,false,Test failed: text expected to contain /Flights from Paris to London/,7504,310,2,2,https://blazedemo.com/reserve.php?fromPort=Paris&toPort=London,295,0,15
1733919155915,295,Search Flights-0,302,Found,Thread Group 1-4,text,true,,259,155,2,2,http://blazedemo.com/reserve.php?fromPort=Paris&toPort=London,295,0,15
1733919156211,612,Search Flights-1,200,OK,Thread Group 1-4,text,true,,7245,155,2,2,https://blazedemo.com/reserve.php?fromPort=Paris&toPort=London,586,0,186
